Month,State,Model,Price_Per_Unit_INR,GNP_INR,Import_Duties_INR,Units_Sold
2015-01-01,Rajasthan,Inspiron 15,42490.8,597240799098.22,6147.96,199
2015-01-02,Arunachal Pradesh,Inspiron 15,54014.29,569259718236.8,8248.89,172
2015-01-03,Telangana,Inspiron 15,49639.88,1821883702989.97,7841.45,191
2015-01-04,Maharashtra,Inspiron 15,46973.17,574137779714.06,2385.1,189
2015-01-05,Gujarat,Inspiron 15,38120.37,616704479644.4,2343.25,223
2015-01-06,Madhya Pradesh,Inspiron 15,38119.89,1542856698594.13,3413.57,221
2015-01-07,Manipur,Inspiron 15,36161.67,954505700656.03,4249.67,202
2015-01-08,Delhi,Inspiron 15,52323.52,1575750058214.84,4676.1,183
2015-01-09,Chhattisgarh,Inspiron 15,47022.3,224195699372.33,7117.27,171
2015-01-10,Arunachal Pradesh,Inspiron 15,49161.45,1026385267979.43,1510.12,200
2015-01-11,Himachal Pradesh,Inspiron 15,35411.69,163865840348.24,1312.05,190
2015-01-12,Punjab,Inspiron 15,54398.2,219041086565.17,4527.2,170
2015-01-13,Karnataka,Inspiron 15,51648.85,1822231161354.38,7274.47,192
2015-01-14,Delhi,Inspiron 15,39246.78,364566205123.43,2740.92,207
2015-01-15,Jharkhand,Inspiron 15,38636.5,1111599296322.91,6773.54,224
2015-01-16,Gujarat,Inspiron 15,38668.09,881081644941.34,3338.45,217
2015-01-17,Himachal Pradesh,Inspiron 15,41084.84,759952319891.8,8974.77,206
2015-01-18,Maharashtra,Inspiron 15,45495.13,1809683356805.82,9061.21,185
2015-01-19,Nagaland,Inspiron 15,43638.9,141464453873.43,3675.58,189
2015-01-20,Karnataka,Inspiron 15,40824.58,1361200403733.62,3069.94,211
2015-01-21,Arunachal Pradesh,Inspiron 15,47237.06,1930449425005.75,4701.74,208
2015-01-22,Telangana,Inspiron 15,37789.88,1164319548577.5,3164.78,199
2015-01-23,Telangana,Inspiron 15,40842.89,1879962677862.87,7051.45,218
2015-01-24,Assam,Inspiron 15,42327.24,199289970643.45,8434.58,188
2015-01-25,Uttarakhand,Inspiron 15,44121.4,895707306240.91,7057.83,207
2015-01-26,Gujarat,Inspiron 15,50703.52,594299802827.9,8419.15,167
2015-01-27,West Bengal,Inspiron 15,38993.48,1488559833463.39,4572.93,234
2015-01-28,Delhi,Inspiron 15,45284.69,1964464471944.77,2406.85,207
2015-01-29,Delhi,Inspiron 15,46848.29,587407118644.07,7641.56,180
2015-01-30,Haryana,Inspiron 15,35929.01,1342931742800.74,4244.27,214
2015-01-31,Odisha,Inspiron 15,47150.9,476385502243.51,7041.44,177
2015-02-01,Rajasthan,Inspiron 15,38410.48,1174127483686.06,3435.8,155
2015-02-02,Jharkhand,Inspiron 15,36301.03,981471724707.84,1731.07,197
2015-02-03,Mizoram,Inspiron 15,53977.71,1946810126299.92,9933.24,132
2015-02-04,Uttarakhand,Inspiron 15,54312.64,1256201818123.29,2405.81,133
2015-02-05,Jharkhand,Inspiron 15,51167.95,764062106964.96,9895.79,125
2015-02-06,West Bengal,Inspiron 15,41092.28,316781991287.07,9795.52,146
